title,normalized_title,type,authors,journal,year,library
"Residential School Saint: The Life, Death, and Turbulent Afterlife of Rose Prince of the Carrier Nation",residential school saint the life death and turbulent afterlife of rose prince of the carrier nation,Journal Article,"Anderson, E",CHURCH HISTORY,2020,Search
Antimicrobial Activity of Salmon Extracts Derived from Traditional First Nations Smoke Processing,antimicrobial activity of salmon extracts derived from traditional first nations smoke processing,Journal Article,"Allen, KJ; Chen, XM; Mesak, LR; Kitts, DD",JOURNAL OF FOOD PROTECTION,2012,Search
Using perceptual maps to communicate concepts of sustainable forest management - Collaborative research with the Office of the Wet'suwet'en Nation in British Columbia,using perceptual maps to communicate concepts of sustainable forest management collaborative research with the office of the wetsuweten nation in british columbia,Journal Article,"Allen, SD",FORESTRY CHRONICLE,2005,Search
Susceptibility of northern British Columbia forests to spruce budworm defoliation,susceptibility of northern british columbia forests to spruce budworm defoliation,Journal Article,"Alfaro, RI; Taylor, S; Brown, RG; Clowater, JS",FOREST ECOLOGY AND MANAGEMENT,2001,Search
"""Conceptual Alternatives for a Release Facility at Kenney Dam: An Interim Report of the Kenney Dam Release Facility Working Group""",conceptual alternatives for a release facility at kenney dam an interim report of the kenney dam release facility working group,Generic,"Alderdice, Don",,1996,Search
"Water Release Facility at Kenney Dam - Correspondence, Presentations and Reports",water release facility at kenney dam correspondence presentations and reports,Generic,,,2000,Search
"""Power Generation at Kenney Dam"" presented by Columbia Power Corporation",power generation at kenney dam presented by columbia power corporation,Generic,,,1999,Search
Investigation into mountain pine beetle above-canopy dispersion using weather radar and an atmospheric dispersion model,investigation into mountain pine beetle abovecanopy dispersion using weather radar and an atmospheric dispersion model,Journal Article,"Ainslie, B; Jackson, PL",AEROBIOLOGIA,2011,Search
"The use of an atmospheric dispersion model to determine influence regions in the Prince George, BC airshed from the burning of open wood waste piles",the use of an atmospheric dispersion model to determine influence regions in the prince george bc airshed from the burning of open wood waste piles,Journal Article,"Ainslie, B; Jackson, PL",JOURNAL OF ENVIRONMENTAL MANAGEMENT,2009,Search
Downscaling and Bias Correcting a Cold Season Precipitation Climatology over Coastal Southern British Columbia Using the Regional Atmospheric Modeling System (RAMS),downscaling and bias correcting a cold season precipitation climatology over coastal southern british columbia using the regional atmospheric modeling system rams,Journal Article,"Ainslie, B; Jackson, PL",Journal of Applied Meteorology and Climatology,2010,Search
"Witsuwit'en grammar: phonetics, phonology, morphology",witsuwiten grammar phonetics phonology morphology,Journal Article,"Rice, K",PHONOLOGY,2008,Search
Implications of a Bayesian approach for simulating salmon population dynamics,implications of a bayesian approach for simulating salmon population dynamics,Conference Proceedings,"Hill, RA; Pyper, BJ",,1998,Search
Evaluation of a rime-based reading program with Shuswap and Heiltsuk First Nations prereaders,evaluation of a rimebased reading program with shuswap and heiltsuk first nations prereaders,Journal Article,"Walton, PD; Bowden, ME; Kurtz, SL; Angus, M",READING AND WRITING,2001,Search
Aggregate resource potential mapping,aggregate resource potential mapping,Conference Proceedings,"Bobrowsky, PT; Massey, NWD; Matheson, A",,1998,Search
BC hydro experience using a small STATCOM to address utility voltage problems,bc hydro experience using a small statcom to address utility voltage problems,Conference Proceedings,"Reddy, N; Iosfin, H",,2003,Search
Increased biogas production in a wastewater treatment plant by anaerobic co-digestion of fruit and vegetable waste and sewer sludge - A full scale study,increased biogas production in a wastewater treatment plant by anaerobic codigestion of fruit and vegetable waste and sewer sludge a full scale study,Journal Article,"Park, ND; Thring, RW; Garton, RP; Rutherford, MP; Helle, SS",WATER SCIENCE AND TECHNOLOGY,2011,Search
Operational techniques for assessing NSR areas using an airborne multispectral imager (CASI),operational techniques for assessing nsr areas using an airborne multispectral imager casi,Conference Proceedings,"Price, R; Davison, D",,1999,Search
Re-Estimating Temperature-Dependent Consumption Parameters in Bioenergetics Models for Juvenile Chinook Salmon,reestimating temperaturedependent consumption parameters in bioenergetics models for juvenile chinook salmon,Journal Article,"Plumb, JM; Moffitt, CM",TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY,2015,Search
Modeling the Propagation of Forest Insect Infestation Using Machine Learning Techniques,modeling the propagation of forest insect infestation using machine learning techniques,Conference Proceedings,"Samardzic-Petrovic, M; Dragicevic, S",,2015,Search
"Epithermal-style Au-Ag mineralization in Cretaceous to Eocene felsic volcanic complexes, central British Columbia, western Canada",epithermalstyle auag mineralization in cretaceous to eocene felsic volcanic complexes central british columbia western canada,Conference Proceedings,"Bordet, E; Hart, CJR; McClenaghan, L",,2011,Search
"Duni zuz utilnith, 'tanning moose-hide': weaving Dakelh (Indigenous) intangible cultural heritage transmission with academia hide",duni zuz utilnith tanning moosehide weaving dakelh indigenous intangible cultural heritage transmission with academia hide,Journal Article,"Pawlowska-Mainville, A; Pierreroy, Y",INTERNATIONAL JOURNAL OF INTANGIBLE HERITAGE,2020,Search
Disrupting Settler-Colonial Capitalism: Indigenous Intifadas and Resurgent Solidarity from Turtle Island to Palestine,disrupting settlercolonial capitalism indigenous intifadas and resurgent solidarity from turtle island to palestine,Journal Article,"Desai, C",JOURNAL OF PALESTINE STUDIES,2021,Search
Automated assessment of erythrocyte disorders using artificial neural network,automated assessment of erythrocyte disorders using artificial neural network,Conference Proceedings,"Zahir, S; Chowdhury, R; Payne, GW",,2006,Search
Bed load measurements with a passive magnetic induction device,bed load measurements with a passive magnetic induction device,Conference Proceedings,"Gottesfeld, AS; Tunnicliffe, J",,2003,Search
"""There's a Conflict Right There"": Integrating Indigenous Community Values into Commercial Forestry in the Tl'azt'en First Nation",theres a conflict right there integrating indigenous community values into commercial forestry in the tlazten first nation,Journal Article,"Booth, AL; Skelton, NW",SOCIETY & NATURAL RESOURCES,2011,Search
Survival-time analysis of white spruce during spruce budworm defoliation,survivaltime analysis of white spruce during spruce budworm defoliation,Journal Article,"Magnussen, S; Alfaro, RI; Boudewyn, P",SILVA FENNICA,2005,Search
Searching for Added Value in Simulating Climate Extremes with a High-Resolution Regional Climate Model over Western Canada. II: Basin-Scale Results,searching for added value in simulating climate extremes with a highresolution regional climate model over western canada ii basinscale results,Journal Article,"Curry, CL; Tencer, B; Whan, K; Weaver, AJ; Giguere, M; Wiebe, E",ATMOSPHERE-OCEAN,2016,Search
An investigation of two date unsupervised classification in the context of a national program for Landsat based forest change mapping,an investigation of two date unsupervised classification in the context of a national program for landsat based forest change mapping,Conference Proceedings,"Leckie, DG; Walsworth, N; Dechka, J; Wulder, M; IEEE, IEEE",,2002,Search
"Cooperative forest planning using criteria, indicators and systems analysis",cooperative forest planning using criteria indicators and systems analysis,Conference Proceedings,"Karjala, M; Dewhurst, S; Grainger, S",,2003,Search
Managing fatigue following spinal cord injury: A qualitative exploration,managing fatigue following spinal cord injury a qualitative exploration,Journal Article,"Hammell, KW; Miller, WC; Forwell, SJ; Forman, BE; Jacobsen, BA",DISABILITY AND REHABILITATION,2009,Search
Gender Differences in HIV and Hepatitis C Related Vulnerabilities Among Aboriginal Young People Who Use Street Drugs in Two Canadian Cities,gender differences in hiv and hepatitis c related vulnerabilities among aboriginal young people who use street drugs in two canadian cities,Journal Article,"Mehrabadi, A; Paterson, K; Pearce, M; Patel, S; Craib, KJP; Moniruzzaman, A; Schechter, MT; Spittal, PM",WOMEN & HEALTH,2008,Search
"Complex network theory, streamflow, and hydrometric monitoring system design",complex network theory streamflow and hydrometric monitoring system design,Journal Article,"Halverson, MJ; Fleming, SW",HYDROLOGY AND EARTH SYSTEM SCIENCES,2015,Search
Carbon management and community-based action learning: a theory to work experience,carbon management and communitybased action learning a theory to work experience,Journal Article,"Booth, AL; Aben, K; Otter, B; Corrigall, T; Ray, C; Earley, S",ACTION LEARNING,2020,Search
Identification and implementation of fisheries compensation programs at the Kemess South Mine,identification and implementation of fisheries compensation programs at the kemess south mine,Conference Proceedings,"Bent, H",,2002,Search
A dam tale: Using institutional logics in a case-study on water rights in the Canadian coastal mountains,a dam tale using institutional logics in a casestudy on water rights in the canadian coastal mountains,Journal Article,"Schneider, T; Andreaus, M",SUSTAINABILITY ACCOUNTING MANAGEMENT AND POLICY JOURNAL,2018,Search
The Cedar Project: exploring the role of colonial harms and childhood maltreatment on HIV and hepatitis C infection in a cohort study involving young Indigenous people who use drugs in two Canadian cities,the cedar project exploring the role of colonial harms and childhood maltreatment on hiv and hepatitis c infection in a cohort study involving young indigenous people who use drugs in two canadian cities,Journal Article,"Pearce, ME; Jongbloed, K; Pooyak, S; Christian, KWM; Teegee, MGM; Caron, NR; Thomas, V; Henderson, E; Zamar, D; Yoshida, EM; Schechter, MT; Spittal, PM",BMJ OPEN,2021,Search
"Fatherhood, masculinity, and the good life during Canada's baby boom, 1945-1965",fatherhood masculinity and the good life during canadas baby boom 19451965,Journal Article,"Rutherdale, R",JOURNAL OF FAMILY HISTORY,1999,Search
Measuring food waste and creating diversion opportunities at Canada's Green University (TM),measuring food waste and creating diversion opportunities at canadas green university tm,Journal Article,"Rajan, J; Fredeen, AL; Booth, AL; Watson, M",JOURNAL OF HUNGER & ENVIRONMENTAL NUTRITION,2018,Search
The future's past: Politics of time and territory among Dakelh first nations in British Columbia,the futures past politics of time and territory among dakelh first nations in british columbia,Journal Article,"Larsen, SC",GEOGRAFISKA ANNALER SERIES B-HUMAN GEOGRAPHY,2006,Search
Along-Channel Winds in Howe Sound: Climatological Analysis and Case Studies,alongchannel winds in howe sound climatological analysis and case studies,Journal Article,"Bakri, T; Jackson, P; Doherty, F",ATMOSPHERE-OCEAN,2017,Search
"Characterization of sediment transport and storage in the upstream portion of the Fraser River (British Columbia, Canada)",characterization of sediment transport and storage in the upstream portion of the fraser river british columbia canada,Conference Proceedings,"Petticrew, EL; Biickert, SL",,1998,Search
With Reserves: Colonial Geographies and First Nations Health,with reserves colonial geographies and first nations health,Journal Article,"e Leeuw, S; Maurice, S; Holyk, T; Greenwood, M; Adam, W",ANNALS OF THE ASSOCIATION OF AMERICAN GEOGRAPHERS,2012,Search
Spring bud phenology of 18 Betula papyrifera populations in British Columbia,spring bud phenology of 18 betula papyrifera populations in british columbia,Journal Article,"Hawkins, CDB; Dhar, A",SCANDINAVIAN JOURNAL OF FOREST RESEARCH,2012,Search
